quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
shape_pr,shape_spectrum,L4,low,0.9,global,2,18,0.004106776180698152,0.0012575979878432194,0.1,2,18,0.1,1.0,0.049044448466729465,2.038966756203559
shape_pr,shape_spectrum,L4,low,0.925,per_task,2,11,0.004106776180698152,0.0007685321036819675,0.15384615384615385,0,11,0.0,0.0,0.12418634987265498,1.2388330440818422
shape_pr,shape_spectrum,L4,low,0.925,global,1,8,0.002053388090349076,0.0005589324390414309,0.1111111111111111,0,8,0.0,0.0,0.08368102442828065,1.3277933900813987
shape_pr,shape_spectrum,L4,low,0.95,per_task,1,7,0.002053388090349076,0.000489065884161252,0.125,0,7,0.0,0.0,0.14194691473947918,0.8806108975980033
shape_pr,shape_spectrum,L4,low,0.95,global,0,4,0.0,0.00027946621952071543,0.0,0,4,0.0,0.0,0.0423244877393349,0.0
shape_pr,shape_spectrum,L4,low,0.96,per_task,1,7,0.002053388090349076,0.000489065884161252,0.125,0,7,0.0,0.0,0.14194691473947918,0.8806108975980033
shape_pr,shape_spectrum,L4,low,0.96,global,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.0423244877393349,0.0
shape_pr,shape_spectrum,L4,low,0.975,per_task,1,5,0.002053388090349076,0.0003493327744008943,0.16666666666666666,0,5,0.0,0.0,0.17365226781857449,0.9597724738083689
shape_pr,shape_spectrum,L4,low,0.975,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L4,low,0.98,per_task,1,4,0.002053388090349076,0.00027946621952071543,0.2,0,4,0.0,0.0,0.2065327213822894,0.96836955743106
shape_pr,shape_spectrum,L4,low,0.98,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L4,low,0.99,per_task,0,1,0.0,6.986655488017886e-05,0.0,0,1,0.0,0.0,0.00925,0.0
shape_pr,shape_spectrum,L4,low,0.99,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L4,low,0.995,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L4,low,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
shape_pr,shape_spectrum,L4,high,0.5,per_task,284,573,0.5831622176591376,0.040033535946342486,0.3313885647607935,72,540,0.11764705882352941,0.2535211267605634,0.2294885435899736,1.4440309724257274
shape_pr,shape_spectrum,L4,high,0.5,global,351,1676,0.7207392197125256,0.11709634597917977,0.1731623088307844,168,1548,0.0979020979020979,0.47863247863247865,0.13475842177010214,1.284983205919399
shape_pr,shape_spectrum,L4,high,0.6,per_task,266,336,0.5462012320328542,0.023475162439740096,0.4418604651162791,62,308,0.16756756756756758,0.23308270676691728,0.2926633026099662,1.5097911530956398
shape_pr,shape_spectrum,L4,high,0.6,global,324,1173,0.6652977412731006,0.0819534688744498,0.21643286573146292,111,1041,0.09635416666666667,0.3425925925925926,0.16849822531888523,1.2844815743421671
shape_pr,shape_spectrum,L4,high,0.7,per_task,238,201,0.4887063655030801,0.01404317753091595,0.5421412300683371,54,177,0.23376623376623376,0.226890756302521,0.35792390341133046,1.514682939309873
shape_pr,shape_spectrum,L4,high,0.7,global,291,778,0.5975359342915811,0.05435617969677915,0.2722170252572498,66,683,0.08811748998664887,0.2268041237113402,0.2060280953942225,1.3212616693678534
shape_pr,shape_spectrum,L4,high,0.75,per_task,216,138,0.44353182751540043,0.009641584573464682,0.6101694915254238,48,118,0.2891566265060241,0.2222222222222222,0.39269325672467,1.5538068990913012
shape_pr,shape_spectrum,L4,high,0.75,global,276,640,0.5667351129363449,0.04471459512331447,0.30131004366812225,47,556,0.0779436152570481,0.17028985507246377,0.2307497585614691,1.305787037639984
shape_pr,shape_spectrum,L4,high,0.8,per_task,185,103,0.3798767967145791,0.007196255152658423,0.6423611111111112,42,84,0.3333333333333333,0.22702702702702704,0.4172111576431911,1.5396546792750774
shape_pr,shape_spectrum,L4,high,0.8,global,246,493,0.5051334702258727,0.034444211555928174,0.33288227334235454,35,438,0.07399577167019028,0.14227642276422764,0.24551825528576918,1.3558351209155453
shape_pr,shape_spectrum,L4,high,0.85,per_task,166,62,0.3408624229979466,0.0043317264025710895,0.7280701754385965,38,47,0.4470588235294118,0.2289156626506024,0.48132550615267267,1.512635765468158
shape_pr,shape_spectrum,L4,high,0.85,global,203,372,0.41683778234086244,0.025990358415426535,0.35304347826086957,23,335,0.06424581005586592,0.11330049261083744,0.25791976479102946,1.3688112601487163
shape_pr,shape_spectrum,L4,high,0.9,per_task,135,31,0.27720739219712526,0.0021658632012855447,0.8132530120481928,33,19,0.6346153846153846,0.24444444444444444,0.5421487107570346,1.5000552356061108
shape_pr,shape_spectrum,L4,high,0.9,global,150,238,0.3080082135523614,0.016628240061482568,0.3865979381443299,11,215,0.048672566371681415,0.07333333333333333,0.29290757344532936,1.3198632373924866
shape_pr,shape_spectrum,L4,high,0.925,per_task,111,24,0.22792607802874743,0.0016767973171242926,0.8222222222222222,31,14,0.6888888888888889,0.27927927927927926,0.5407089109551271,1.5206374549474693
