cohort,suite,chunk,phase,cap,n_risk,n_safe,safe_alive,risk_alive,survival_prior,frontier_routing,frontier_null_control,frontier_length_leak,union_routing,union_null_control,survival_baseline_recall,fpr_if_all_survivors_alarm
external_8b,libero_long,37,0.730769,52,274,3726,245,274,0.527938,0.518248,0.145985,1,0.0218978,0.0109489,0.0760408,0.0657542
external_8b,libero_long,38,0.75,52,274,3726,185,274,0.59695,0.518248,0.145985,1,0.0218978,0.0109489,0.100703,0.0496511
external_8b,libero_long,39,0.769231,52,274,3726,110,274,0.713542,0.518248,0.237226,1,0.0218978,0.0109489,0.169364,0.0295223
external_8b,libero_long,40,0.788462,52,274,3726,60,274,0.820359,0.536496,0.324818,1,0.0218978,0.0109489,0.3105,0.0161031
external_8b,libero_long,41,0.807692,52,274,3726,37,274,0.881029,0.536496,0.372263,1,0.0218978,0.0109489,0.503514,0.00993022
external_8b,libero_long,42,0.826923,52,274,3726,28,274,0.907285,0.616788,0.375912,1,0.0218978,0.0109489,0.665357,0.00751476
external_8b,libero_long,43,0.846154,52,274,3726,23,274,0.922559,0.773723,0.375912,1,0.0218978,0.0109489,0.81,0.00617284
external_8b,libero_long,44,0.865385,52,274,3726,14,274,0.951389,0.978102,1,1,0.0218978,0.0109489,1,0.00375738
external_8b,libero_long,45,0.884615,52,274,3726,11,274,0.961404,1,1,1,0.0218978,0.0109489,1,0.00295223
external_8b,libero_long,46,0.903846,52,274,3726,8,274,0.971631,1,1,1,0.0218978,0.0109489,1,0.00214707
external_8b,libero_long,47,0.923077,52,274,3726,5,274,0.982079,1,1,1,0.0218978,0.0109489,1,0.00134192
external_8b,libero_long,48,0.942308,52,274,3726,2,274,0.992754,1,1,1,0.0218978,0.0109489,1,0.000536769
external_8b,libero_long,49,0.961538,52,274,3726,2,274,0.992754,1,1,1,0.0218978,0.0109489,1,0.000536769
external_8b,libero_long,50,0.980769,52,274,3726,2,274,0.992754,1,1,1,0.0218978,0.0109489,1,0.000536769
external_8b,libero_long,51,1,52,274,3726,0,274,1,1,1,1,0.0218978,0.0109489,0,0
development_main,libero_object,4,0.178571,28,37,3963,3963,37,0.00925,0.0810811,0.027027,1,0.0810811,0.027027,0.005,1
development_main,libero_object,5,0.214286,28,37,3963,3963,37,0.00925,0.0810811,0.027027,1,0.0810811,0.027027,0.005,1
development_main,libero_object,6,0.25,28,37,3963,3963,37,0.00925,0.135135,0.027027,1,0.0810811,0.027027,0.005,1
