calibration,score_kind,method,suite,task,query,auc,control_auc,old_ac_auc,delta_control,delta_old_ac,failures,successes
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5811000618012248,0.5772515309848868,0.6011854598572953,0.0038485308163379583,-0.02008539805607057,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5573346817236924,0.5772515309848868,0.6011854598572953,-0.019916849261194414,-0.04385077813360294,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,0.5989381425922805,0.5772515309848868,0.6011854598572953,0.021686611607393713,-0.0022473172650148143,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5702286645317153,0.5702286645317153,0.5687679083094556,0.0,0.0014607562222597181,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5716332378223495,0.5702286645317153,0.5687679083094556,0.001404573290634259,0.002865329512893977,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5675037923478847,0.5702286645317153,0.5687679083094556,-0.002724872183830551,-0.001264115961570833,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5692735546940839,0.5702286645317153,0.5687679083094556,-0.0009551098376313627,0.0005056463846283554,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.6457104331704029,0.5702286645317153,0.5687679083094556,0.07548176863868761,0.07694252486094733,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5673352435530086,0.5702286645317153,0.5687679083094556,-0.0028934209787067067,-0.0014326647564469885,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.6080397775155908,0.5702286645317153,0.5687679083094556,0.03781111298387552,0.039271869206135235,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5716332378223495,0.5702286645317153,0.5687679083094556,0.001404573290634259,0.002865329512893977,51,349
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11,0.5684027192538906,0.5702286645317153,0.5687679083094556,-0.0018259452778246477,-0.00036518905556492953,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6908253272655768,0.6908253272655768,0.689364571043317,0.0,0.0014607562222597181,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6869206135176134,0.6908253272655768,0.689364571043317,-0.0039047137479634175,-0.0024439575257036994,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6886341929321872,0.6908253272655768,0.689364571043317,-0.002191134333389577,-0.0007303781111298591,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6867801561885499,0.6908253272655768,0.689364571043317,-0.004045171077026843,-0.0025844148547671253,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6432664756446992,0.6908253272655768,0.689364571043317,-0.047558851620877585,-0.04609809539861787,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6869206135176134,0.6908253272655768,0.689364571043317,-0.0039047137479634175,-0.0024439575257036994,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6415528962301252,0.6908253272655768,0.689364571043317,-0.049272431035451536,-0.04781167481319182,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6869206135176134,0.6908253272655768,0.689364571043317,-0.0039047137479634175,-0.0024439575257036994,51,349
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,12,0.6239114556997584,0.6908253272655768,0.689364571043317,-0.0669138715658184,-0.06545311534355869,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7168099331423113,0.7168099331423113,0.7214450250014046,0.0,-0.004635091859093277,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7125400303387831,0.7168099331423113,0.7214450250014046,-0.004269902803528236,-0.008904994662621513,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7123433900780943,0.7168099331423113,0.7214450250014046,-0.00446654306421701,-0.009101634923310287,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7117253778302152,0.7168099331423113,0.7214450250014046,-0.005084555312096173,-0.00971964717118945,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.609360076408787,0.7168099331423113,0.7214450250014046,-0.10744985673352436,-0.11208494859261764,51,349
episode,raw_score,relative_soft,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7125400303387831,0.7168099331423113,0.7214450250014046,-0.004269902803528236,-0.008904994662621513,51,349
episode,raw_score,layer_consensus,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.5790774762627114,0.7168099331423113,0.7214450250014046,-0.1377324568795999,-0.14236754873869317,51,349
episode,raw_score,relative_recovery,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.7125400303387831,0.7168099331423113,0.7214450250014046,-0.004269902803528236,-0.008904994662621513,51,349
episode,raw_score,ac_window_mean,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,0.6564975560424743,0.7168099331423113,0.7214450250014046,-0.060312377099837056,-0.06494746895893033,51,349
episode,raw_score,ac_reference,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.7111916399797742,0.7111916399797742,0.7098713410865779,0.0,0.0013202988931962922,51,349
episode,raw_score,relative_curvature,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.6996741389965728,0.7111916399797742,0.7098713410865779,-0.011517500983201368,-0.010197202090005075,51,349
episode,raw_score,relative_path_mobility,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.7061070846676779,0.7111916399797742,0.7098713410865779,-0.005084555312096284,-0.0037642564188999916,51,349
episode,raw_score,relative_state,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.707258834765998,0.7111916399797742,0.7098713410865779,-0.003932805213776147,-0.002612506320579855,51,349
episode,raw_score,relative_both,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,14,0.5450868026293612,0.7111916399797742,0.7098713410865779,-0.16610483735041304,-0.16478453845721674,51,349
