calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,median_failure_q,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
episode,0.005,previous_leaky_state_trap,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,previous_leaky_state_trap,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,previous_leaky_state_trap,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,34.0,1,0,1,0,,,,
episode,0.005,previous_leaky_state_trap,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,9,1,399,1.0,0.022556390977443608,29.0,0,9,1,9,,,,
episode,0.005,previous_leaky_state_trap,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,17,1,399,1.0,0.042606516290726815,41.0,0,16,0,16,,,,
episode,0.005,previous_leaky_state_trap,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,126,15,151,249,0.8344370860927153,0.060240963855421686,33.0,0,0,22,5,,,,
episode,0.005,previous_leaky_state_trap,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,7,30,370,1.0,0.01891891891891892,14.0,24,7,24,7,,,,
episode,0.005,previous_leaky_state_trap,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,0,8,2,,,,
episode,0.005,previous_leaky_state_trap,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,7,4,396,1.0,0.017676767676767676,31.5,1,4,2,7,,,,
episode,0.005,previous_leaky_state_trap,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
