freeze_level,acceleration_level,periodicity_level,tp,fp,risk_recall,precision,timely_fpr,early4_risk_recall,f1
0.97,0.85,0.7,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
0.97,0.85,0.75,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
0.97,0.85,0.8,123,207,0.3407202216066482,0.37272727272727274,0.019829485582910242,0.3268698060941828,0.35600578871201155
0.97,0.85,0.85,122,207,0.3379501385041551,0.3708206686930091,0.019829485582910242,0.32409972299168976,0.3536231884057971
0.97,0.85,0.9,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.3185595567867036,0.3488372093023256
0.97,0.85,0.95,117,207,0.32409972299168976,0.3611111111111111,0.019829485582910242,0.31301939058171746,0.3416058394160584
0.97,0.9,0.5,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.9,0.55,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.9,0.6,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.9,0.65,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.9,0.7,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.9,0.75,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.9,0.8,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.9,0.85,118,207,0.3268698060941828,0.3630769230769231,0.019829485582910242,0.3157894736842105,0.34402332361516036
0.97,0.9,0.9,117,207,0.32409972299168976,0.3611111111111111,0.019829485582910242,0.31301939058171746,0.3416058394160584
0.97,0.9,0.95,116,207,0.32132963988919666,0.3591331269349845,0.019829485582910242,0.31024930747922436,0.3391812865497076
0.97,0.925,0.5,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.925,0.55,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.925,0.6,120,207,0.33240997229916897,0.3669724770642202,0.019829485582910242,0.32132963988919666,0.3488372093023256
0.97,0.925,0.65,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.925,0.7,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.925,0.75,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.925,0.8,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
0.97,0.925,0.85,118,207,0.3268698060941828,0.3630769230769231,0.019829485582910242,0.3157894736842105,0.34402332361516036
0.97,0.925,0.9,117,207,0.32409972299168976,0.3611111111111111,0.019829485582910242,0.31301939058171746,0.3416058394160584
0.97,0.925,0.95,116,207,0.32132963988919666,0.3591331269349845,0.019829485582910242,0.31024930747922436,0.3391812865497076
0.97,0.95,0.5,119,207,0.3296398891966759,0.36503067484662577,0.019829485582910242,0.3185595567867036,0.34643377001455605
