calibration,method,suite,task,query,auc,reference_auc,delta,raw_v82_auc,failures,successes
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,18,1.0,1.0,0.0,1.0,1,34
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,19,1.0,1.0,0.0,1.0,1,32
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,20,1.0,1.0,0.0,1.0,1,25
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,21,1.0,1.0,0.0,1.0,1,12
episode,v82_reference,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,22,1.0,1.0,0.0,1.0,1,3
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,8,0.9887218045112782,0.10776942355889724,0.8809523809523809,0.11528822055137844,1,399
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,9,0.9774436090225563,0.681704260651629,0.2957393483709273,0.6441102756892231,1,399
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,10,0.8897243107769424,0.6741854636591479,0.21553884711779447,0.6390977443609023,1,399
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,11,0.9172932330827067,0.6879699248120301,0.2293233082706766,0.6541353383458647,1,399
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,12,0.9573863636363636,0.8565340909090909,0.10085227272727271,0.8210227272727273,1,352
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,13,0.9830508474576272,0.7796610169491526,0.2033898305084746,0.7627118644067796,1,177
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,14,0.9701492537313433,0.8507462686567164,0.11940298507462688,0.835820895522388,1,67
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,15,1.0,0.8571428571428571,0.1428571428571429,0.8571428571428571,1,42
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,16,1.0,1.0,0.0,1.0,1,37
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,17,1.0,1.0,0.0,1.0,1,34
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,18,1.0,1.0,0.0,1.0,1,34
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,19,1.0,1.0,0.0,1.0,1,32
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,20,1.0,1.0,0.0,1.0,1,25
episode,dynamics_only,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,21,1.0,1.0,0.0,1.0,1,12
