corpus,suite,task,event,event_settling,control_settling,event_responsiveness,control_responsiveness,event_coherence,control_coherence
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.09085150753279148,0.061078175962583844,0.25226158485302264,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,9.744879066020395e-06,0.033446839935178156,0.28159551990810067,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.7345397493617104,0.08779161550605158,0.02450306672957394,0.2560462778723666,0.8664074528835097,0.3434972421992243
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.652331949560506,0.8044105322652945,0.026513364376705165,0.18205159763960968,0.8664074528835097,0.7401787860479319
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.6808552105868365,0.03406223717409588,0.22452255430880633,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.7833177415268276,0.04124187162813596,0.18601920039385422,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.8520045216238866,0.447624523312999,0.018615766477261073,0.1819216804447271,0.8664074528835097,0.5387066596503537
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.6217525190512385,0.25258401709901446,0.0173029190342366,0.09906869884510451,0.8664074528835097,0.8664074528835096
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.5191194527275916,0.680916928154255,0.04124187162813596,0.14391064432090916,0.8664074528835097,0.7401787860479319
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.5287084137285856,0.447624523312999,0.06269872202506718,0.1819216804447271,0.487721452376776,0.5387066596503537
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.5751135278411195,0.0165468046541542,0.06417567539846972,0.6007302713901823,0.8664074528835097,0.17336139858504357
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.31679627355824513,9.744879066020395e-06,0.052647233789411066,0.0625961558185809,0.8664074528835097,0.3357792979789121
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,9.744879066020395e-06,0.999990255120934,0.032585283800693345,0.12565385956635008,0.8664074528835097,0.2619910736907755
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.3642733243680446,9.744879066020395e-06,0.027621079406757062,0.0625961558185809,0.8664074528835097,0.3357792979789121
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.24109805297316256,0.5556042799508858,0.027190301339514656,0.9992922931752446,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.373550449238925,0.024410922060457252,0.018513200270774785,0.5410059693532175,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.476982595645988,0.5556042799508858,0.01510800221543006,0.9992922931752446,0.8664074528835097,0.487721452376776
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.12975306476446624,0.999990255120934,0.01385669449629736,0.12565385956635008,0.8664074528835097,0.2619910736907755
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.2355824514217778,0.5070682856159089,0.06304744712712056,0.330799948033122,0.8664074528835097,0.7401787860479319
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.027490303845329245,0.38258720042617606,0.07759133520687604,0.32718961756480475,0.8664074528835097,0.5005262234695668
grid50x8,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,static,0.08808396187803313,0.7875674832875325,0.025959506861679214,0.3446409157110915,0.487721452376776,0.43003176830575535
