level,cohort,suite,task,method,clusters,variant,alpha,failure,episodes,progress_bin,alarms,count
all,all,all,all,c4_union_radius,4,union_radius,0.03,True,1096,"[25,50%)",865,112
all,all,all,all,c4_union_radius,4,union_radius,0.03,True,1096,"[50,75%)",865,503
all,all,all,all,c4_union_radius,4,union_radius,0.03,True,1096,"[75,100%)",865,230
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,30904,"[0,25%)",1585,0
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,30904,"[25,50%)",1585,26
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,30904,"[50,75%)",1585,565
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,False,30904,"[75,100%)",1585,994
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,1096,"[0,25%)",865,16
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,1096,"[25,50%)",865,118
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,1096,"[50,75%)",865,534
all,all,all,all,c8_centroid_distance,8,centroid_distance,0.03,True,1096,"[75,100%)",865,197
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,30904,"[0,25%)",1522,0
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,30904,"[25,50%)",1522,41
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,30904,"[50,75%)",1522,523
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,False,30904,"[75,100%)",1522,958
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,1096,"[0,25%)",870,20
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,1096,"[25,50%)",870,110
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,1096,"[50,75%)",870,492
all,all,all,all,c8_assigned_radius,8,assigned_radius,0.03,True,1096,"[75,100%)",870,248
all,all,all,all,c8_union_radius,8,union_radius,0.03,False,30904,"[0,25%)",1586,0
all,all,all,all,c8_union_radius,8,union_radius,0.03,False,30904,"[25,50%)",1586,28
all,all,all,all,c8_union_radius,8,union_radius,0.03,False,30904,"[50,75%)",1586,550
all,all,all,all,c8_union_radius,8,union_radius,0.03,False,30904,"[75,100%)",1586,1008
all,all,all,all,c8_union_radius,8,union_radius,0.03,True,1096,"[0,25%)",846,10
all,all,all,all,c8_union_radius,8,union_radius,0.03,True,1096,"[25,50%)",846,114
all,all,all,all,c8_union_radius,8,union_radius,0.03,True,1096,"[50,75%)",846,467
all,all,all,all,c8_union_radius,8,union_radius,0.03,True,1096,"[75,100%)",846,255
all,all,all,all,c16_centroid_distance,16,centroid_distance,0.03,False,30904,"[0,25%)",1862,0
