suite,method,scope,task,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_object,euclidean,unseen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,800,20,780,20,76,0,704,1.0,0.09743589743589744,0.20833333333333334
libero_object,euclidean,unseen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,800,0,800,0,15,0,785,,0.01875,0.0
libero_object,euclidean,unseen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,400,0,0,0,400,,0.0,
libero_object,euclidean,unseen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,399,1,0,0,399,1.0,0.0,1.0
libero_object,euclidean,unseen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,393,5,3,2,390,0.7142857142857143,0.007633587786259542,0.625
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,160,1,159,0,0,1,159,0.0,0.0,
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,240,4,236,0,9,4,227,0.0,0.038135593220338986,0.0
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,160,1,159,0,3,1,156,0.0,0.018867924528301886,0.0
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,160,0,160,0,0,0,160,,0.0,
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,160,9,151,0,0,9,151,0.0,0.0,
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,160,5,155,0,0,5,155,0.0,0.0,
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,160,6,154,0,3,6,151,0.0,0.01948051948051948,0.0
libero_spatial,cosine,seen,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,80,0,80,0,0,0,80,,0.0,
