cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,common_component,L5,8,14456,564,0.03901494189263974,0.43880706891868987,0.45885114692144247,0.5279794214461666
external_8b,common_component,L5,10,11342,564,0.04972667959795451,0.41805658097858917,0.42794549276641314,0.5213327648968615
external_8b,common_component,L5,12,9146,564,0.06166630220861579,0.45073475573978855,0.472799792671581,0.5419540765597812
external_8b,common_component,L5,14,5753,564,0.09803580740483227,0.5446628096259272,0.6294860903701187,0.527687044589188
external_8b,common_component,L5,16,4793,564,0.11767160442311704,0.5434583733726431,0.7006566908120473,0.4697339420654912
external_8b,common_component,L5,18,4300,564,0.13116279069767442,0.6101535567299953,0.7411527322113772,0.5171126458994433
external_8b,common_component,L5,20,3995,564,0.1411764705882353,0.562625188363916,0.6518909265185332,0.5524506597217936
external_8b,common_component,L5,24,2174,424,0.19503219871205152,0.35174393530997305,0.32130071099958174,0.4122094191121419
external_8b,common_component,L5,28,769,380,0.494148244473342,0.36227844675957244,0.32879775977748127,0.2716952380952381
external_8b,common_component,L5,32,569,274,0.48154657293497366,0.2188543857478659,0.2188543857478659,0.16986604788524415
external_8b,common_component,L12,4,15600,564,0.036153846153846154,0.4731670586337471,0.585588382728983,0.5194290947311458
external_8b,common_component,L12,6,15600,564,0.036153846153846154,0.5193996583141359,0.64073817489552,0.5399612875027318
external_8b,common_component,L12,8,14456,564,0.03901494189263974,0.5052198520297411,0.5921250299003256,0.524175440891156
external_8b,common_component,L12,10,11342,564,0.04972667959795451,0.4702787988139749,0.5222560461680334,0.4777424326894697
external_8b,common_component,L12,12,9146,564,0.06166630220861579,0.522229026281298,0.5340876166404351,0.5283370618941089
external_8b,common_component,L12,14,5753,564,0.09803580740483227,0.6067058794585929,0.5285149648123474,0.5463866715630376
external_8b,common_component,L12,16,4793,564,0.11767160442311704,0.6111440928811365,0.42900209683568435,0.5801420812342569
external_8b,common_component,L12,18,4300,564,0.13116279069767442,0.5409367549015142,0.33305141253569176,0.5526665422243695
external_8b,common_component,L12,20,3995,564,0.1411764705882353,0.6191555508701431,0.5108671591077604,0.5553758994803688
external_8b,common_component,L12,24,2174,424,0.19503219871205152,0.6677587601078168,0.6568255959849435,0.46054673946786945
external_8b,common_component,L12,28,769,380,0.494148244473342,0.5813489378974428,0.5740758142419515,0.623136507936508
external_8b,common_component,L12,32,569,274,0.48154657293497366,0.49851540269701844,0.49851540269701844,0.4746598460078051
external_8b,common_component,L13,4,15600,564,0.036153846153846154,0.46550854780677675,0.6022044991157222,0.5313758546408167
external_8b,common_component,L13,6,15600,564,0.036153846153846154,0.47035401089394907,0.5783703002789887,0.5156567075645468
external_8b,common_component,L13,8,14456,564,0.03901494189263974,0.3986982022409959,0.44372958896185066,0.5108778584352451
external_8b,common_component,L13,10,11342,564,0.04972667959795451,0.35841792250828786,0.3129703814613928,0.5028629521529532
external_8b,common_component,L13,12,9146,564,0.06166630220861579,0.4589583013101808,0.37914019856355186,0.5429017524235645
external_8b,common_component,L13,14,5753,564,0.09803580740483227,0.6055222517901343,0.5081302703234403,0.539689595856124
external_8b,common_component,L13,16,4793,564,0.11767160442311704,0.5776921928796271,0.3586465878764773,0.5208595717884131
external_8b,common_component,L13,18,4300,564,0.13116279069767442,0.5273617249077407,0.2559285182488321,0.5282246110263196
external_8b,common_component,L13,20,3995,564,0.1411764705882353,0.5710103540724847,0.37172604400162473,0.5156444784556709
external_8b,common_component,L13,24,2174,424,0.19503219871205152,0.6422614555256064,0.6232538686741949,0.5045561622322455
external_8b,common_component,L13,28,769,380,0.494148244473342,0.5828372344743608,0.5266684207558872,0.47095873015873013
external_8b,common_component,L13,32,569,274,0.48154657293497366,0.538389211926265,0.538389211926265,0.44623457441198183
external_8b,common_component,L14,4,15600,564,0.036153846153846154,0.4847526692439328,0.5844555777094387,0.5371411028899087
