direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error
A_to_B,static,0,0.012804497189,0.0062836624775583485,21,3342,0.006520834711441651
A_to_B,static,0,0.015625,0.0,0,148,0.015625
A_to_B,static,0,0.021694214876,0.03077889447236181,49,1592,0.009084679596361809
A_to_B,static,0,0.052083333333,0.16279069767441862,28,172,0.11070736434141862
A_to_B,static,0,0.053846153846,0.031055900621118012,5,161,0.022790253224881988
A_to_B,static,0,0.060185185185,0.0,0,77,0.060185185185
A_to_B,static,0,0.0625,0.072,9,125,0.009499999999999995
A_to_B,static,0,0.08064516129,0.13333333333333333,6,45,0.05268817204333333
A_to_B,static,0,0.12037037037,0.13978494623655913,26,186,0.019414575866559133
A_to_B,static,2,8.4090145e-05,0.0,0,5362,8.4090145e-05
A_to_B,static,2,0.008808290155,0.0,0,3200,0.008808290155
A_to_B,static,2,0.042785758901,0.020945541591861162,70,3342,0.021840217309138835
A_to_B,static,2,0.054752066116,0.09108040201005026,145,1592,0.036328335894050254
A_to_B,static,2,0.06204379562,0.050119331742243436,21,419,0.011924463877756565
A_to_B,static,2,0.084615384615,0.2236024844720497,36,161,0.1389870998570497
A_to_B,static,2,0.09375,0.27325581395348836,47,172,0.17950581395348836
A_to_B,static,2,0.112903225806,0.3333333333333333,15,45,0.22043010752733333
A_to_B,static,2,0.162037037037,0.0,0,77,0.162037037037
A_to_B,static,2,0.1625,0.2,25,125,0.037500000000000006
A_to_B,static,2,0.171875,0.08783783783783784,13,148,0.08403716216216216
A_to_B,static,2,0.231481481481,0.3548387096774194,66,186,0.12335722819641937
A_to_B,static,4,0.00109317188,0.0005594927265945542,3,5362,0.0005336791534054457
A_to_B,static,4,0.021934369603,0.0078125,25,3200,0.014121869603
A_to_B,static,4,0.065896314803,0.04817474566128067,161,3342,0.01772156914171933
A_to_B,static,4,0.081611570248,0.14761306532663315,235,1592,0.06600149507863315
A_to_B,static,4,0.09375,0.27325581395348836,47,172,0.17950581395348836
A_to_B,static,4,0.105839416058,0.15274463007159905,64,419,0.04690521401359905
A_to_B,static,4,0.112903225806,0.4,18,45,0.28709677419400004
A_to_B,static,4,0.115384615385,0.2484472049689441,40,161,0.1330625895839441
A_to_B,static,4,0.199074074074,0.14285714285714285,11,77,0.05621693121685714
A_to_B,static,4,0.2125,0.232,29,125,0.019500000000000017
A_to_B,static,4,0.234375,0.1891891891891892,28,148,0.0451858108108108
A_to_B,static,4,0.268518518519,0.3709677419354839,69,186,0.10244922341648388
A_to_B,trap,0,0.011194029851,0.013725490196078431,7,510,0.0025314603450784304
A_to_B,trap,0,0.014297221104,0.0,0,2888,0.014297221104
A_to_B,trap,0,0.015625,0.0,0,99,0.015625
