quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L3,low,0.5,per_task,231,75,0.47433264887063653,0.005239991616013414,0.7549019607843137,36,62,0.3673469387755102,0.15584415584415584,0.59115939478644,1.2769854753928536
mobility,adjacent_query,L3,low,0.5,global,304,2044,0.6242299794661191,0.1428072381750856,0.12947189097103917,211,2001,0.09538878842676311,0.694078947368421,0.08238750486262586,1.5714991149073214
mobility,adjacent_query,L3,low,0.6,per_task,226,48,0.46406570841889117,0.003353594634248585,0.8248175182481752,31,36,0.4626865671641791,0.13716814159292035,0.6460930896362101,1.2766233403186493
mobility,adjacent_query,L3,low,0.6,global,289,1837,0.5934291581108829,0.12834486131488856,0.1359360301034807,154,1751,0.08083989501312336,0.532871972318339,0.10620099441575945,1.2799882981444928
mobility,adjacent_query,L3,low,0.7,per_task,215,26,0.4414784394250513,0.0018165304268846503,0.8921161825726142,28,17,0.6222222222222222,0.13023255813953488,0.7020029443885998,1.2708154427323535
mobility,adjacent_query,L3,low,0.7,global,273,1605,0.5605749486652978,0.11213582058268706,0.14536741214057508,89,1510,0.05565978736710444,0.326007326007326,0.12683206012549328,1.146140904726629
mobility,adjacent_query,L3,low,0.75,per_task,206,23,0.42299794661190965,0.0016069307622441137,0.8995633187772926,28,15,0.6511627906976745,0.13592233009708737,0.7087980377958104,1.269139121172959
mobility,adjacent_query,L3,low,0.75,global,263,1449,0.5400410677618069,0.10123663802137917,0.1536214953271028,61,1365,0.042776998597475455,0.23193916349809887,0.14365677824366277,1.0693647540009454
mobility,adjacent_query,L3,low,0.8,per_task,199,22,0.4086242299794661,0.001537064207363935,0.9004524886877828,27,14,0.6585365853658537,0.135678391959799,0.7139123604048684,1.2612927561264315
mobility,adjacent_query,L3,low,0.8,global,234,1288,0.4804928131416838,0.08998812268567037,0.15374507227332457,40,1240,0.03125,0.17094017094017094,0.14897295035170025,1.032033479301834
mobility,adjacent_query,L3,low,0.85,per_task,190,11,0.39014373716632444,0.0007685321036819675,0.945273631840796,26,4,0.8666666666666667,0.1368421052631579,0.7496235597691215,1.2609977628397022
mobility,adjacent_query,L3,low,0.85,global,147,969,0.30184804928131415,0.06770069167889331,0.13172043010752688,30,955,0.030456852791878174,0.20408163265306123,0.14253737579846568,0.9241115136970605
mobility,adjacent_query,L3,low,0.9,per_task,160,9,0.32854209445585214,0.0006287989939216097,0.9467455621301775,25,3,0.8928571428571429,0.15625,0.727204579696022,1.3018971394898606
mobility,adjacent_query,L3,low,0.9,global,69,513,0.14168377823408623,0.035841542653531754,0.11855670103092783,17,512,0.03213610586011342,0.2463768115942029,0.13094435521405778,0.9053975701138124
mobility,adjacent_query,L3,low,0.925,per_task,146,9,0.2997946611909651,0.0006287989939216097,0.9419354838709677,23,3,0.8846153846153846,0.15753424657534246,0.7201593425149911,1.3079542654844611
