episode,init_state_id,flow_noise_seed,success,failure,stratum
412,39,1028,False,True,i39
413,39,1029,False,True,i39
414,39,1030,False,True,i39
415,39,1031,False,True,i39
416,42,1000,False,True,i42
417,42,1001,True,False,i42
418,42,1002,True,False,i42
419,42,1003,True,False,i42
420,42,1004,True,False,i42
421,42,1005,True,False,i42
422,42,1006,False,True,i42
423,42,1007,False,True,i42
424,42,1008,True,False,i42
425,42,1009,False,True,i42
426,42,1010,True,False,i42
427,42,1011,False,True,i42
428,42,1012,False,True,i42
429,42,1013,True,False,i42
430,42,1014,False,True,i42
431,42,1015,False,True,i42
432,42,1016,False,True,i42
433,42,1017,False,True,i42
434,42,1018,False,True,i42
435,42,1019,False,True,i42
436,42,1020,False,True,i42
437,42,1021,True,False,i42
438,42,1022,True,False,i42
439,42,1023,False,True,i42
440,42,1024,True,False,i42
441,42,1025,False,True,i42
442,42,1026,False,True,i42
443,42,1027,False,True,i42
444,42,1028,False,True,i42
445,42,1029,True,False,i42
446,42,1030,True,False,i42
447,42,1031,True,False,i42
448,46,1000,True,False,i46
449,46,1001,True,False,i46
450,46,1002,True,False,i46
451,46,1003,True,False,i46
452,46,1004,True,False,i46
453,46,1005,True,False,i46
454,46,1006,True,False,i46
455,46,1007,True,False,i46
456,46,1008,True,False,i46
457,46,1009,True,False,i46
458,46,1010,True,False,i46
459,46,1011,True,False,i46
460,46,1012,True,False,i46
461,46,1013,True,False,i46
462,46,1014,True,False,i46
463,46,1015,False,True,i46
464,46,1016,True,False,i46
465,46,1017,True,False,i46
466,46,1018,True,False,i46
467,46,1019,True,False,i46
468,46,1020,True,False,i46
469,46,1021,True,False,i46
470,46,1022,True,False,i46
471,46,1023,True,False,i46
472,46,1024,True,False,i46
473,46,1025,True,False,i46
474,46,1026,True,False,i46
475,46,1027,True,False,i46
476,46,1028,True,False,i46
477,46,1029,True,False,i46
478,46,1030,True,False,i46
479,46,1031,True,False,i46
480,49,1000,False,True,i49
481,49,1001,False,True,i49
482,49,1002,False,True,i49
483,49,1003,False,True,i49
484,49,1004,False,True,i49
485,49,1005,False,True,i49
486,49,1006,False,True,i49
487,49,1007,False,True,i49
488,49,1008,False,True,i49
489,49,1009,False,True,i49
490,49,1010,False,True,i49
491,49,1011,False,True,i49
492,49,1012,False,True,i49
