dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot001,all,token_gram,6,0.0013224307913333178,0.001322866533882916,16
rolling_star_k16,worker0_snapshot001,all,token_gram,7,0.0011672776890918612,0.0011740369955077767,16
rolling_star_k16,worker0_snapshot001,all,token_gram,8,0.0010231733322143555,0.0010343524627387524,16
rolling_star_k16,worker0_snapshot001,all,token_gram,9,0.0009275418124161661,0.0009251028532162309,16
rolling_star_k16,worker0_snapshot001,all,expert_load,0,0.007508326321840286,0.007548286579549313,16
rolling_star_k16,worker0_snapshot001,all,expert_load,1,0.007118939887732267,0.00713203102350235,16
rolling_star_k16,worker0_snapshot001,all,expert_load,2,0.00681378785520792,0.006874673999845982,16
rolling_star_k16,worker0_snapshot001,all,expert_load,3,0.006696729455143213,0.006725031416863203,16
rolling_star_k16,worker0_snapshot001,all,expert_load,4,0.006629392970353365,0.006679320242255926,16
rolling_star_k16,worker0_snapshot001,all,expert_load,5,0.006665925960987806,0.0067262654192745686,16
rolling_star_k16,worker0_snapshot001,all,expert_load,6,0.006616214290261269,0.006737126968801022,16
rolling_star_k16,worker0_snapshot001,all,expert_load,7,0.0063482183031737804,0.006610788870602846,16
rolling_star_k16,worker0_snapshot001,all,expert_load,8,0.006233417894691229,0.006431167013943195,16
rolling_star_k16,worker0_snapshot001,all,expert_load,9,0.006322357337921858,0.006417025346308947,16
rolling_star_k16,worker0_snapshot001,all,spectrum,0,0.0034963206853717566,0.0035608599428087473,16
rolling_star_k16,worker0_snapshot001,all,spectrum,1,0.0034199899528175592,0.0034509976394474506,16
rolling_star_k16,worker0_snapshot001,all,spectrum,2,0.0033996193669736385,0.0034494257997721434,16
rolling_star_k16,worker0_snapshot001,all,spectrum,3,0.00330334878526628,0.0034118967596441507,16
rolling_star_k16,worker0_snapshot001,all,spectrum,4,0.0033376615028828382,0.003398367203772068,16
rolling_star_k16,worker0_snapshot001,all,spectrum,5,0.00325284106656909,0.0033693925943225622,16
rolling_star_k16,worker0_snapshot001,all,spectrum,6,0.0032003591768443584,0.003272981382906437,16
rolling_star_k16,worker0_snapshot001,all,spectrum,7,0.0029890446458011866,0.003005285281687975,16
rolling_star_k16,worker0_snapshot001,all,spectrum,8,0.0026061520911753178,0.00267573120072484,16
rolling_star_k16,worker0_snapshot001,all,spectrum,9,0.0025103173684328794,0.002509664511308074,16
rolling_star_k16,worker0_snapshot001,front,edge_action,0,0.039045851677656174,0.03875724598765373,16
rolling_star_k16,worker0_snapshot001,front,edge_action,1,0.03852139413356781,0.03817472606897354,16
rolling_star_k16,worker0_snapshot001,front,edge_action,2,0.03846246749162674,0.03825870528817177,16
rolling_star_k16,worker0_snapshot001,front,edge_action,3,0.038390886038541794,0.038323674350976944,16
rolling_star_k16,worker0_snapshot001,front,edge_action,4,0.037956319749355316,0.03797484561800957,16
rolling_star_k16,worker0_snapshot001,front,edge_action,5,0.03704029694199562,0.03697320818901062,16
rolling_star_k16,worker0_snapshot001,front,edge_action,6,0.034603942185640335,0.03459995985031128,16
rolling_star_k16,worker0_snapshot001,front,edge_action,7,0.031100431457161903,0.031179573386907578,16
rolling_star_k16,worker0_snapshot001,front,edge_action,8,0.02713426761329174,0.02719113789498806,16
rolling_star_k16,worker0_snapshot001,front,edge_action,9,0.02381167747080326,0.02393755130469799,16
