cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_snapshot_out,w02_s002,2,policy_state+mean_moe_action+state,0.875,0.9347242116928101
leave_one_snapshot_out,w02_s003,2,policy_state+mean_moe_action+state,0.875,0.6644467115402222
leave_one_snapshot_out,w02_s004,2,policy_state+mean_moe_action+state,1.0,0.7235463261604309
leave_one_snapshot_out,w03_s000,3,policy_state+mean_moe_action+state,0.0625,0.4633386731147766
leave_one_snapshot_out,w03_s001,3,policy_state+mean_moe_action+state,0.0625,0.3377580940723419
leave_one_snapshot_out,w03_s002,3,policy_state+mean_moe_action+state,0.0625,0.26855069398880005
leave_one_snapshot_out,w03_s003,3,policy_state+mean_moe_action+state,0.0625,0.34875577688217163
leave_one_snapshot_out,w03_s004,3,policy_state+mean_moe_action+state,0.1875,0.33524006605148315
leave_one_snapshot_out,w03_s005,3,policy_state+mean_moe_action+state,0.125,0.33339619636535645
leave_one_snapshot_out,w00_s000,0,sim_state+mean_moe_action+state,0.5625,0.7871953845024109
leave_one_snapshot_out,w00_s001,0,sim_state+mean_moe_action+state,0.75,0.5207242965698242
leave_one_snapshot_out,w00_s002,0,sim_state+mean_moe_action+state,0.8125,1.0
leave_one_snapshot_out,w00_s003,0,sim_state+mean_moe_action+state,0.9375,0.7637084722518921
leave_one_snapshot_out,w00_s004,0,sim_state+mean_moe_action+state,0.75,0.8368868231773376
leave_one_snapshot_out,w00_s005,0,sim_state+mean_moe_action+state,0.625,0.5946760773658752
leave_one_snapshot_out,w01_s000,1,sim_state+mean_moe_action+state,1.0,0.8651880025863647
leave_one_snapshot_out,w01_s001,1,sim_state+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s002,1,sim_state+mean_moe_action+state,1.0,0.5935596227645874
leave_one_snapshot_out,w01_s003,1,sim_state+mean_moe_action+state,1.0,1.0
leave_one_snapshot_out,w01_s004,1,sim_state+mean_moe_action+state,1.0,0.8148249387741089
leave_one_snapshot_out,w02_s000,2,sim_state+mean_moe_action+state,1.0,0.519195020198822
leave_one_snapshot_out,w02_s001,2,sim_state+mean_moe_action+state,0.9375,0.7647122740745544
leave_one_snapshot_out,w02_s002,2,sim_state+mean_moe_action+state,0.875,0.9359293580055237
leave_one_snapshot_out,w02_s003,2,sim_state+mean_moe_action+state,0.875,0.6627622246742249
leave_one_snapshot_out,w02_s004,2,sim_state+mean_moe_action+state,1.0,0.7248395085334778
leave_one_snapshot_out,w03_s000,3,sim_state+mean_moe_action+state,0.0625,0.461830735206604
leave_one_snapshot_out,w03_s001,3,sim_state+mean_moe_action+state,0.0625,0.3408472239971161
leave_one_snapshot_out,w03_s002,3,sim_state+mean_moe_action+state,0.0625,0.26587292551994324
leave_one_snapshot_out,w03_s003,3,sim_state+mean_moe_action+state,0.0625,0.3495546877384186
leave_one_snapshot_out,w03_s004,3,sim_state+mean_moe_action+state,0.1875,0.3339318037033081
leave_one_snapshot_out,w03_s005,3,sim_state+mean_moe_action+state,0.125,0.33216097950935364
leave_one_worker_out,w00_s000,0,mean_rate,0.5625,0.640625
leave_one_worker_out,w00_s001,0,mean_rate,0.75,0.640625
leave_one_worker_out,w00_s002,0,mean_rate,0.8125,0.640625
leave_one_worker_out,w00_s003,0,mean_rate,0.9375,0.640625
leave_one_worker_out,w00_s004,0,mean_rate,0.75,0.640625
leave_one_worker_out,w00_s005,0,mean_rate,0.625,0.640625
leave_one_worker_out,w01_s000,1,mean_rate,1.0,0.5698529411764706
leave_one_worker_out,w01_s001,1,mean_rate,1.0,0.5698529411764706
leave_one_worker_out,w01_s002,1,mean_rate,1.0,0.5698529411764706
leave_one_worker_out,w01_s003,1,mean_rate,1.0,0.5698529411764706
leave_one_worker_out,w01_s004,1,mean_rate,1.0,0.5698529411764706
leave_one_worker_out,w02_s000,2,mean_rate,1.0,0.5882352941176471
leave_one_worker_out,w02_s001,2,mean_rate,0.9375,0.5882352941176471
leave_one_worker_out,w02_s002,2,mean_rate,0.875,0.5882352941176471
leave_one_worker_out,w02_s003,2,mean_rate,0.875,0.5882352941176471
leave_one_worker_out,w02_s004,2,mean_rate,1.0,0.5882352941176471
leave_one_worker_out,w03_s000,3,mean_rate,0.0625,0.8828125
leave_one_worker_out,w03_s001,3,mean_rate,0.0625,0.8828125
