kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
task_init,0.15,70,61,7.994908237370223,9,550,eef_motion_low__cumsum,libero_goal_20260908
task_init,0.2,70,57,4.301114346104176,13,550,eef_motion_low__cumsum,libero_goal_20260908
episode,0.01,550,546,4.496605143007999,4,550,clock,libero_goal_20260908
episode,0.03,550,535,0.0,6,550,clock,libero_goal_20260908
episode,0.05,550,524,0.0,6,550,clock,libero_goal_20260908
episode,0.1,550,496,0.0,6,550,clock,libero_goal_20260908
episode,0.15,550,469,0.0,6,550,clock,libero_goal_20260908
episode,0.2,550,441,0.0,6,550,clock,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,clock,libero_goal_20260908
task_init,0.03,70,69,4.496605143007999,1,550,clock,libero_goal_20260908
task_init,0.05,70,68,0.0,2,550,clock,libero_goal_20260908
task_init,0.1,70,64,0.0,2,550,clock,libero_goal_20260908
task_init,0.15,70,61,0.0,2,550,clock,libero_goal_20260908
task_init,0.2,70,57,0.0,2,550,clock,libero_goal_20260908
episode,0.01,550,546,1.8089937483782714,4,550,random,libero_goal_20260908
episode,0.03,550,535,1.468350382878846,15,550,random,libero_goal_20260908
episode,0.05,550,524,1.3986544949655295,26,550,random,libero_goal_20260908
episode,0.1,550,496,1.3538105715618498,54,550,random,libero_goal_20260908
episode,0.15,550,469,1.3365457585661775,81,550,random,libero_goal_20260908
episode,0.2,550,441,1.3107281965950162,109,550,random,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,random,libero_goal_20260908
task_init,0.03,70,69,1.9464874168323685,1,550,random,libero_goal_20260908
task_init,0.05,70,68,1.8089937483782714,2,550,random,libero_goal_20260908
task_init,0.1,70,64,1.5358692563607734,6,550,random,libero_goal_20260908
task_init,0.15,70,61,1.4583047793240627,9,550,random,libero_goal_20260908
task_init,0.2,70,57,1.4386536802118899,13,550,random,libero_goal_20260908
