failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,3,action,back_12_15,1,consensus_distance,0.25,0.5,-0.25,-0.5,-0.05402046823874122,0.13930348258706468,0.9950248756218906,16,16
stagnation,3,action,back_12_15,4,consensus_distance,0.25,0.5,-0.25,-0.5,-0.05402046823874122,0.13930348258706468,0.9950248756218906,16,16
stagnation,3,state,back_12_15,8,top1_mass,0.25,0.5,-0.25,-0.5384615659713745,0.0555555559694767,0.14427860696517414,0.9950248756218906,16,16
stagnation,3,state,back_12_15,9,top1_mass,0.25,0.5,-0.25,-0.5384615659713745,0.0555555559694767,0.14427860696517414,0.9950248756218906,16,16
stagnation,3,action,front_2_5,7,entropy,0.375,0.125,0.25,-0.0625,0.4545454680919647,0.14925373134328357,0.9950248756218906,16,16
stagnation,3,action,back_12_15,3,consensus_distance,0.1875,0.4375,-0.25,-0.5,-0.05402046823874122,0.15422885572139303,0.9950248756218906,16,16
stagnation,3,action,back_12_15,3,token_dispersion,0.25,0.5,-0.25,-0.4117647111415863,-0.0714285746216774,0.1691542288557214,0.9950248756218906,16,16
stagnation,3,action,back_12_15,8,token_dispersion,0.25,0.5,-0.25,-0.433258930593729,-0.0625,0.18407960199004975,0.9950248756218906,16,16
stagnation,3,state,back_12_15,6,top1_mass,0.25,0.4375,-0.1875,-0.5384615659713745,0.2222222238779068,0.23383084577114427,1.0,16,16
stagnation,3,action,front_2_5,2,consensus_distance,0.1875,0.375,-0.1875,-0.46666666865348816,0.0,0.24378109452736318,1.0,16,16
stagnation,3,action,front_2_5,3,consensus_distance,0.1875,0.375,-0.1875,-0.46666666865348816,0.0,0.24378109452736318,1.0,16,16
stagnation,3,state,back_12_15,4,top1_mass,0.25,0.4375,-0.1875,-0.5384615659713745,0.2222222238779068,0.24875621890547264,1.0,16,16
stagnation,3,action,front_2_5,6,entropy,0.3125,0.125,0.1875,-0.07692307978868484,0.43325893059372883,0.2537313432835821,1.0,16,16
stagnation,3,state,back_12_15,2,top1_mass,0.25,0.4375,-0.1875,-0.5384615659713745,0.2222222238779068,0.2537313432835821,1.0,16,16
stagnation,3,action,front_2_5,4,top1_mass,0.4375,0.25,0.1875,-0.05882352963089943,0.5201923221349708,0.2736318407960199,1.0,16,16
stagnation,3,action,front_2_5,5,entropy,0.375,0.1875,0.1875,0.0625,0.3125,0.2736318407960199,1.0,16,16
stagnation,3,action,back_12_15,8,consensus_distance,0.3125,0.5,-0.1875,-0.46666666865348816,0.08165584709495262,0.27860696517412936,1.0,16,16
stagnation,3,action,front_2_5,8,entropy,0.4375,0.25,0.1875,-0.07692307978868484,0.5,0.27860696517412936,1.0,16,16
