failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.7,back_L12_15,T2,lag2_soft_change,1267,0.38997575640678406,0.039435338228940964,0.043327294290065765
all_failures,0.7,back_L12_15,T3,lag1_soft_change,1267,0.33460181951522827,0.031706493347883224,0.036884188652038574
all_failures,0.7,back_L12_15,T3,lag1_hard_churn,1267,0.14032264053821564,0.7153807878494263,0.855454683303833
all_failures,0.7,back_L12_15,T3,lag2_soft_change,1267,0.3796398639678955,0.037439100444316864,0.04127288609743118
all_failures,0.7,back_L12_15,T4,lag1_soft_change,1267,0.36352992057800293,0.03180259093642235,0.03558213636279106
all_failures,0.7,back_L12_15,T4,lag1_hard_churn,1267,0.15521541237831116,0.7253351211547852,0.8569320440292358
all_failures,0.7,back_L12_15,T4,lag2_soft_change,1267,0.39555302262306213,0.03681664168834686,0.03966126590967178
all_failures,0.7,back_L12_15,T5,lag1_soft_change,1267,0.351199209690094,0.03148375451564789,0.03572794422507286
all_failures,0.7,back_L12_15,T5,lag1_hard_churn,1267,0.11722408980131149,0.7249857783317566,0.8670938611030579
all_failures,0.7,back_L12_15,T5,lag2_soft_change,1267,0.4045466184616089,0.03670579567551613,0.039313193410634995
all_failures,0.7,back_L12_15,T6,lag1_soft_change,1267,0.35407572984695435,0.031506117433309555,0.03568252921104431
all_failures,0.7,back_L12_15,T6,lag1_hard_churn,1267,0.11265572160482407,0.7190176844596863,0.8649984002113342
all_failures,0.7,back_L12_15,T6,lag2_soft_change,1267,0.4137652814388275,0.03732200339436531,0.039310477674007416
all_failures,0.7,back_L12_15,T7,lag1_soft_change,1267,0.36560001969337463,0.03171936795115471,0.035878006368875504
all_failures,0.7,back_L12_15,T7,lag1_hard_churn,1267,0.11837518960237503,0.7131590247154236,0.8576889634132385
all_failures,0.7,back_L12_15,T7,lag2_soft_change,1267,0.39407676458358765,0.03747899457812309,0.03994129225611687
all_failures,0.7,back_L12_15,T8,lag1_soft_change,1267,0.3803303837776184,0.033223509788513184,0.036460574716329575
all_failures,0.7,back_L12_15,T8,lag1_hard_churn,1267,0.13089562952518463,0.7149674296379089,0.8513844609260559
all_failures,0.7,back_L12_15,T8,lag2_soft_change,1267,0.40395280718803406,0.0385509617626667,0.04094386100769043
all_failures,0.7,back_L12_15,T9,lag1_soft_change,1267,0.37504714727401733,0.033858783543109894,0.037775542587041855
all_failures,0.7,back_L12_15,T9,lag1_hard_churn,1267,0.13743062317371368,0.6983420848846436,0.835173487663269
all_failures,0.7,back_L12_15,T9,lag2_soft_change,1267,0.37411051988601685,0.03994917869567871,0.04320431128144264
all_failures,0.7,back_L12_15,T10,lag1_soft_change,1267,0.3725075125694275,0.03619486466050148,0.04146689176559448
all_failures,0.7,back_L12_15,T10,lag1_hard_churn,1267,0.15377452969551086,0.6656550168991089,0.7993301153182983
all_failures,0.7,back_L12_15,T10,lag2_soft_change,1267,0.364784300327301,0.04275340959429741,0.04813539609313011
all_failures,0.8,back_L12_15,state,lag1_soft_change,1267,0.1181487888097763,0.048972662538290024,0.10048096626996994
all_failures,0.8,back_L12_15,state,lag1_hard_churn,1267,0.12131913006305695,0.3821934163570404,0.6973013877868652
all_failures,0.8,back_L12_15,state,lag2_soft_change,1267,0.11005062609910965,0.06866230815649033,0.13172633945941925
all_failures,0.8,back_L12_15,T1,lag1_soft_change,1267,0.20594049990177155,0.03261495754122734,0.043212734162807465
all_failures,0.8,back_L12_15,T1,lag1_hard_churn,1267,0.09704679995775223,0.6417728662490845,0.8310059309005737
