method,k,calibration,threshold,units,rank,exceedances,fold,suite
euclidean,20,task_init,2.2216238975524902,70,68,2,libero_goal_full_2,libero_goal
cosine,1,episode,0.1934699118137359,541,515,26,libero_goal_full_2,libero_goal
cosine,1,task_init,0.2742716073989868,70,68,2,libero_goal_full_2,libero_goal
cosine,2,episode,0.2014617174863815,541,515,26,libero_goal_full_2,libero_goal
cosine,2,task_init,0.2878948748111725,70,68,2,libero_goal_full_2,libero_goal
cosine,3,episode,0.2119355797767639,541,515,26,libero_goal_full_2,libero_goal
cosine,3,task_init,0.3026503622531891,70,68,2,libero_goal_full_2,libero_goal
cosine,4,episode,0.225502997636795,541,515,26,libero_goal_full_2,libero_goal
cosine,4,task_init,0.3114030957221985,70,68,2,libero_goal_full_2,libero_goal
cosine,5,episode,0.2303937375545501,541,515,26,libero_goal_full_2,libero_goal
cosine,5,task_init,0.3174539804458618,70,68,2,libero_goal_full_2,libero_goal
cosine,6,episode,0.2375921010971069,541,515,26,libero_goal_full_2,libero_goal
cosine,6,task_init,0.3241521716117859,70,68,2,libero_goal_full_2,libero_goal
cosine,7,episode,0.2430374771356582,541,515,26,libero_goal_full_2,libero_goal
cosine,7,task_init,0.3287694454193115,70,68,2,libero_goal_full_2,libero_goal
cosine,8,episode,0.2481835335493087,541,515,26,libero_goal_full_2,libero_goal
cosine,8,task_init,0.3315010964870453,70,68,2,libero_goal_full_2,libero_goal
cosine,9,episode,0.2525538206100464,541,515,26,libero_goal_full_2,libero_goal
cosine,9,task_init,0.3343004286289215,70,68,2,libero_goal_full_2,libero_goal
cosine,10,episode,0.2580100893974304,541,515,26,libero_goal_full_2,libero_goal
cosine,10,task_init,0.3367412090301513,70,68,2,libero_goal_full_2,libero_goal
cosine,20,episode,0.2896419763565063,541,515,26,libero_goal_full_2,libero_goal
cosine,20,task_init,0.3585526049137115,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,1,episode,3.0391948223114014,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,1,task_init,4.999820232391357,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,2,episode,2.7916147708892822,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,2,task_init,4.562372207641602,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,3,episode,2.779543161392212,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,3,task_init,4.045858860015869,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,4,episode,2.783643245697021,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,4,task_init,3.894588708877564,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,5,episode,2.8419172763824463,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,5,task_init,3.8094072341918954,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,6,episode,2.798160552978516,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,6,task_init,3.628618240356445,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,7,episode,2.840313673019409,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,7,task_init,3.412788152694702,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,8,episode,2.774377822875977,541,515,26,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,8,task_init,3.4244675636291504,70,68,2,libero_goal_full_2,libero_goal
cosine_neighbors_euclidean_score,9,episode,2.694850444793701,541,515,26,libero_goal_full_2,libero_goal
