level,cohort,suite,task,method,k,failure,episodes,scorable,p00,p10,p25,p50,p75,p90,p100
suite,all,libero_long,all,euclidean,2,False,7459,7459,0.28995051232348096,0.41459624810808726,0.4622841776651393,0.5314790380903149,0.6365177440412808,0.8498818294692595,2.0718591826213455
suite,all,libero_long,all,euclidean,3,False,7459,7459,0.27306655635650123,0.4043498802565922,0.45197467927565693,0.5194769963389992,0.6267102385611979,0.8493800095530958,2.1397508402746768
suite,all,libero_long,all,euclidean,4,False,7459,7459,0.2758251241164998,0.4048296618649746,0.4516595503595149,0.5169511937401552,0.6214713653546327,0.8463983313775753,2.182462309024524
suite,all,libero_long,all,euclidean,5,False,7459,7459,0.2770844366859177,0.40688423946911056,0.45297828080759545,0.5163737624852661,0.6210965690494725,0.8500733596598029,2.240327713458628
suite,all,libero_long,all,euclidean,6,False,7459,7459,0.275945467612238,0.40618613597465547,0.45232789319595934,0.5157662509552378,0.6190664088048354,0.8500490960342192,2.277524162360771
suite,all,libero_long,all,euclidean,7,False,7459,7459,0.2750365766507984,0.40444961478230224,0.4504682558601501,0.5131536324730418,0.6170460625023546,0.846202057936221,2.3049912940994526
suite,all,libero_long,all,euclidean,8,False,7459,7459,0.27328670606378375,0.4009749319664953,0.4453134264186618,0.5055271408720925,0.6045526969525673,0.8306673170232903,2.312879938147737
suite,all,libero_long,all,euclidean,9,False,7459,7459,0.27078602500754373,0.3967799302194655,0.4387581483732948,0.49738161269531567,0.5929146229814033,0.8123722314700683,2.318933993067007
suite,all,libero_long,all,euclidean,10,False,7459,7459,0.26885348752483446,0.393282416413903,0.4333048960253548,0.49003307510017174,0.5832994415635693,0.7994242849017562,2.3253298015599064
suite,all,libero_long,all,euclidean,20,False,7459,7459,0.2643296539796772,0.36191314064450175,0.39614504552423746,0.44555749509350484,0.5216784067976705,0.7089274541626618,2.310060114264524
suite,all,libero_long,all,euclidean,1,True,541,541,0.49968665334418144,0.8919476412559852,1.0525971263105236,1.2991543522168347,1.5853709561919085,1.8794625080121075,2.7390697331859375
suite,all,libero_long,all,euclidean,2,True,541,541,0.5014791477092377,0.88997267133402,1.074239180080197,1.3367977724741178,1.6125389703413757,1.906042299870112,2.635394901743587
suite,all,libero_long,all,euclidean,3,True,541,541,0.5198251550949767,0.9030201797006009,1.1068140633208639,1.433089373945484,1.7921089628771758,2.022746316702338,2.71606484712031
suite,all,libero_long,all,euclidean,4,True,541,541,0.5375239696710032,0.912348736340026,1.132253969592465,1.4814799750165655,1.944487337358626,2.153116212240147,2.9615674253049455
