quantity,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,L2,high,0.99,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
query_hard_churn,L2,high,0.995,per_task,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
query_hard_churn,L2,high,0.995,global,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
query_hard_churn,L3,low,0.5,per_task,348,840,0.7145790554414785,0.05868790609935024,0.29292929292929293,100,788,0.11261261261261261,0.28735632183908044,0.22707055407421575,1.2900364563938655
query_hard_churn,L3,low,0.5,global,453,2254,0.9301848049281314,0.15747921469992315,0.16734392316217214,220,2153,0.09270965023177413,0.4856512141280353,0.14729749161250807,1.1360948603415442
query_hard_churn,L3,low,0.6,per_task,327,513,0.6714579055441479,0.035841542653531754,0.3892857142857143,81,474,0.14594594594594595,0.24770642201834864,0.2916718984989552,1.3346699366278125
query_hard_churn,L3,low,0.6,global,439,1429,0.9014373716632443,0.09983930692377559,0.23501070663811563,173,1319,0.11595174262734584,0.3940774487471526,0.1931758786515268,1.2165634150527425
query_hard_churn,L3,low,0.7,per_task,311,282,0.6386036960985626,0.019702368476210437,0.524451939291737,64,253,0.20189274447949526,0.2057877813504823,0.3929295207253115,1.3347226706806026
query_hard_churn,L3,low,0.7,global,415,810,0.8521560574948666,0.05659190945294487,0.33877551020408164,134,714,0.1580188679245283,0.3228915662650602,0.26682765548194776,1.2696416703590214
query_hard_churn,L3,low,0.75,per_task,302,212,0.6201232032854209,0.014811709634597919,0.5875486381322957,60,185,0.24489795918367346,0.1986754966887417,0.44413448892550156,1.322907031052142
query_hard_churn,L3,low,0.75,global,397,553,0.8151950718685832,0.038636204848738906,0.41789473684210526,107,467,0.18641114982578397,0.2695214105793451,0.33046227209409806,1.2645762379891616
query_hard_churn,L3,low,0.8,per_task,285,154,0.5852156057494866,0.010759449451547545,0.6492027334851936,54,129,0.29508196721311475,0.18947368421052632,0.49248907854988894,1.318207371007578
query_hard_churn,L3,low,0.8,global,371,364,0.7618069815195072,0.025431425976385105,0.5047619047619047,92,299,0.23529411764705882,0.24797843665768193,0.39292219381896853,1.2846357693769375
query_hard_churn,L3,low,0.85,per_task,265,90,0.5441478439425051,0.006287989939216097,0.7464788732394366,45,72,0.38461538461538464,0.16981132075471697,0.5641327023458924,1.323232760900538
query_hard_churn,L3,low,0.85,global,338,214,0.6940451745379876,0.014951442744358275,0.6123188405797102,65,163,0.2850877192982456,0.19230769230769232,0.4927056847912192,1.2427679636762794
query_hard_churn,L3,low,0.9,per_task,225,46,0.4620123203285421,0.0032138615244882273,0.8302583025830258,39,35,0.527027027027027,0.17333333333333334,0.6269944863918279,1.3241875656051179
query_hard_churn,L3,low,0.9,global,293,100,0.6016427104722792,0.006986655488017886,0.7455470737913485,41,64,0.3904761904761905,0.13993174061433447,0.6198419987710438,1.2028018031523182
query_hard_churn,L3,low,0.925,per_task,190,31,0.39014373716632444,0.0021658632012855447,0.8597285067873304,32,22,0.5925925925925926,0.16842105263157894,0.6536773043722058,1.3152185352572656
query_hard_churn,L3,low,0.925,global,253,55,0.5195071868583162,0.003842660518409837,0.8214285714285714,23,26,0.46938775510204084,0.09090909090909091,0.7114535111752697,1.1545779991606633
query_hard_churn,L3,low,0.95,per_task,157,14,0.32238193018480493,0.000978131768322504,0.9181286549707602,26,7,0.7878787878787878,0.16560509554140126,0.713393434181675,1.2869878120254001
query_hard_churn,L3,low,0.95,global,189,24,0.38809034907597534,0.0016767973171242926,0.8873239436619719,10,8,0.5555555555555556,0.05291005291005291,0.7733820342711136,1.1473293978159766
query_hard_churn,L3,low,0.96,per_task,138,14,0.28336755646817247,0.000978131768322504,0.9078947368421053,21,7,0.75,0.15217391304347827,0.7146576396851588,1.2703911445515041
query_hard_churn,L3,low,0.96,global,155,17,0.3182751540041068,0.0011877314329630407,0.9011627906976745,8,5,0.6153846153846154,0.05161290322580645,0.784311381752237,1.1489859916151908
query_hard_churn,L3,low,0.975,per_task,104,8,0.2135523613963039,0.0005589324390414309,0.9285714285714286,8,3,0.7272727272727273,0.07692307692307693,0.7768021385528537,1.1953770239372847
query_hard_churn,L3,low,0.975,global,100,9,0.2053388090349076,0.0006287989939216097,0.9174311926605505,3,3,0.5,0.03,0.8182850508730746,1.1211633301643373
query_hard_churn,L3,low,0.98,per_task,89,7,0.18275154004106775,0.000489065884161252,0.9270833333333334,3,2,0.6,0.033707865168539325,0.8224131868530314,1.1272719700432126
