method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
conditional_effective_rank|per_task,per_task,libero_goal,30,102,4000,49,49,0,1.0,0.4803921568627451,0.6568643180109387,1.5223844142244107,23.0
conditional_effective_rank|per_task,per_task,libero_long,52,222,2800,29,17,12,0.5862068965517241,0.07657657657657657,0.290991563913127,2.0145150899519924,26.0
conditional_effective_rank|per_task,per_task,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
conditional_effective_rank|per_task,per_task,libero_spatial,22,126,4000,60,52,8,0.8666666666666667,0.4126984126984127,0.8669373262198249,0.9996877980161053,18.0
conditional_effective_rank|global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
conditional_effective_rank|global,global,libero_long,52,222,2800,62,42,20,0.6774193548387096,0.1891891891891892,0.22657068539306316,2.9898808562259394,22.0
conditional_effective_rank|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
conditional_effective_rank|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
partial_edge_std|per_task,per_task,libero_goal,30,102,4000,30,29,1,0.9666666666666667,0.28431372549019607,0.2741770831032674,3.525701913980085,14.0
partial_edge_std|per_task,per_task,libero_long,52,222,2800,22,16,6,0.7272727272727273,0.07207207207207207,0.6452410819419269,1.1271333267930133,38.5
partial_edge_std|per_task,per_task,libero_object,28,37,4000,4,4,0,1.0,0.10810810810810811,0.9371482176360224,1.0670670670670672,25.0
partial_edge_std|per_task,per_task,libero_spatial,22,126,4000,47,44,3,0.9361702127659575,0.3492063492063492,0.933612700510553,1.0027393717480555,19.0
partial_edge_std|global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
partial_edge_std|global,global,libero_long,52,222,2800,102,62,40,0.6078431372549019,0.27927927927927926,0.17347906395426868,3.5038414630547994,22.0
partial_edge_std|global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
partial_edge_std|global,global,libero_spatial,22,126,4000,7,7,0,1.0,0.05555555555555555,0.8291897975442278,1.2059965076290768,14.0
expert_load_effective_rank|per_task,per_task,libero_goal,30,102,4000,95,89,6,0.9368421052631579,0.8725490196078431,0.4379307898964521,2.1392469469540436,18.0
expert_load_effective_rank|per_task,per_task,libero_long,52,222,2800,129,99,30,0.7674418604651163,0.44594594594594594,0.5180132640104442,1.4815100573363755,32.0
expert_load_effective_rank|per_task,per_task,libero_object,28,37,4000,16,12,4,0.75,0.32432432432432434,0.3277768071823544,2.288142368726983,16.5
expert_load_effective_rank|per_task,per_task,libero_spatial,22,126,4000,127,122,5,0.9606299212598425,0.9682539682539683,0.8499116381313441,1.130270345952585,17.0
expert_load_effective_rank|global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
expert_load_effective_rank|global,global,libero_long,52,222,2800,96,88,8,0.9166666666666666,0.3963963963963964,0.6717147757152744,1.3646665218738945,38.5
expert_load_effective_rank|global,global,libero_object,28,37,4000,4,4,0,1.0,0.10810810810810811,0.9627892432770482,1.0386489119844105,26.0
expert_load_effective_rank|global,global,libero_spatial,22,126,4000,129,122,7,0.9457364341085271,0.9682539682539683,0.8406158454536585,1.125051876220746,16.0
combo:G-A,global,libero_goal,30,102,4000,22,22,0,1.0,0.21568627450980393,0.5547984283951541,1.8024564397066962,18.5
combo:G-A,global,libero_long,52,222,2800,115,108,7,0.9391304347826087,0.4864864864864865,0.5864586749695774,1.6013582454574933,36.0
combo:G-A,global,libero_object,28,37,4000,3,3,0,1.0,0.08108108108108109,0.9022622834924001,1.1083251714005877,24.0
combo:G-A,global,libero_spatial,22,126,4000,116,116,0,1.0,0.9206349206349206,0.9350525853640727,1.0694585691249006,17.0
combo:G-B,global,libero_goal,30,102,4000,30,30,0,1.0,0.29411764705882354,0.6324322251527607,1.5811970994337856,20.0
combo:G-B,global,libero_long,52,222,2800,120,113,7,0.9416666666666667,0.509009009009009,0.5653734800532791,1.6655656833743364,36.0
combo:G-B,global,libero_object,28,37,4000,6,6,0,1.0,0.16216216216216217,0.9340371246521829,1.070621256486331,25.0
combo:G-B,global,libero_spatial,22,126,4000,121,118,3,0.9752066115702479,0.9365079365079365,0.888900274629474,1.0970933853932598,17.0
combo:P-C,per_task,libero_goal,30,102,4000,103,98,5,0.9514563106796117,0.9607843137254902,0.5280858112581968,1.8017077724786976,18.0
combo:P-C,per_task,libero_long,52,222,2800,107,84,23,0.7850467289719626,0.3783783783783784,0.5126332051630519,1.531400465411258,33.0
combo:P-C,per_task,libero_object,28,37,4000,44,32,12,0.7272727272727273,0.8648648648648649,0.4325223855096819,1.6814684086598506,18.0
combo:P-C,per_task,libero_spatial,22,126,4000,125,125,0,1.0,0.9920634920634921,0.9355717528775827,1.068865105134109,17.0
build:OR_crossframe_global,global,libero_goal,30,102,4000,43,41,2,0.9534883720930233,0.4019607843137255,0.6109106477796734,1.5607656791683577,21.0
build:OR_crossframe_global,global,libero_long,52,222,2800,172,154,18,0.8953488372093024,0.6936936936936937,0.49824124865577074,1.7970186925006861,34.0
build:OR_crossframe_global,global,libero_object,28,37,4000,14,14,0,1.0,0.3783783783783784,0.9353147926147974,1.069158755849853,25.0
build:OR_crossframe_global,global,libero_spatial,22,126,4000,133,125,8,0.9398496240601504,0.9920634920634921,0.8238948175977167,1.1407398177361168,16.0
build:AND_mobility_expertload_global,global,libero_goal,30,102,4000,0,0,0,0.0,0.0,,,
build:AND_mobility_expertload_global,global,libero_long,52,222,2800,66,63,3,0.9545454545454546,0.28378378378378377,0.7346237304132275,1.2993664852189306,40.0
build:AND_mobility_expertload_global,global,libero_object,28,37,4000,0,0,0,0.0,0.0,,,
build:AND_mobility_expertload_global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
build:AND_mobility_flowsettling_per_task,per_task,libero_goal,30,102,4000,50,49,1,0.98,0.4803921568627451,0.5807843945163836,1.6873731616291812,18.0
build:AND_mobility_flowsettling_per_task,per_task,libero_long,52,222,2800,32,32,0,1.0,0.14414414414414414,0.7861607136075881,1.2720045439705725,45.5
build:AND_mobility_flowsettling_per_task,per_task,libero_object,28,37,4000,18,18,0,1.0,0.4864864864864865,0.8104890411765644,1.2338229750131202,22.0
build:AND_mobility_flowsettling_per_task,per_task,libero_spatial,22,126,4000,84,84,0,1.0,0.6666666666666666,0.9976770141196014,1.0023283947084303,19.0
prior:HB_MoE_top4churn@qfpr1pct,task_agnostic,libero_goal,30,102,4000,154,17,137,0.11038961038961038,0.16666666666666666,0.04645994580344262,2.376016770588455,7.0
prior:HB_MoE_top4churn@qfpr1pct,task_agnostic,libero_long,52,222,2800,90,16,74,0.17777777777777778,0.07207207207207207,0.1105689554107436,1.607845322562428,16.0
prior:HB_MoE_top4churn@qfpr1pct,task_agnostic,libero_object,28,37,4000,90,11,79,0.12222222222222222,0.2972972972972973,0.014385854209609123,8.49600033764996,9.0
