family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
published,state_action_alignment,external_8b,L5,0.49690591865613565,0.48861557929253985,0.003094081343864352
published,state_action_alignment,external_8b,L12,0.4699914394453355,0.47091035157763,0.0300085605546645
published,state_action_alignment,external_8b,L13,0.5137432169680508,0.5155630509533478,0.013743216968050809
published,state_action_alignment,external_8b,L14,0.502054367186637,0.49782045611706877,0.002054367186636985
published,state_action_alignment,external_8b,L15,0.5378830223988801,0.5442245344433626,0.037883022398880084
published,conditional_energy,development_main,L2,0.4991975528746853,0.5015879443261891,0.000802447125314687
published,conditional_energy,development_main,L3,0.4609978542582875,0.4596366695505955,0.03900214574171251
published,conditional_energy,development_main,L4,0.4997165631936469,0.4983583088057515,0.0002834368063531212
published,conditional_energy,development_main,L5,0.4850550356121911,0.4948728689984944,0.014944964387808901
published,conditional_energy,development_main,L12,0.5253963257203416,0.5253594828465006,0.02539632572034156
published,conditional_energy,development_main,L13,0.49217873441616344,0.49006331470230174,0.007821265583836556
published,conditional_energy,development_main,L14,0.4990191515622226,0.5037345561353813,0.000980848437777404
published,conditional_energy,development_main,L15,0.4834210704226139,0.47805713178582077,0.016578929577386103
published,conditional_energy,external_8b,L2,0.5207230242046509,0.5226855985038292,0.020723024204650886
published,conditional_energy,external_8b,L3,0.45158823547693816,0.44999936355707026,0.04841176452306184
published,conditional_energy,external_8b,L4,0.5196818482580449,0.5177156757587137,0.019681848258044865
published,conditional_energy,external_8b,L5,0.5031098449644622,0.5113992938051104,0.003109844964462205
published,conditional_energy,external_8b,L12,0.5300176210149581,0.5290998369722755,0.030017621014958085
published,conditional_energy,external_8b,L13,0.48626065479841185,0.48443946204019456,0.013739345201588149
published,conditional_energy,external_8b,L14,0.49795531222951955,0.5021896368298215,0.0020446877704804467
published,conditional_energy,external_8b,L15,0.4621179916351934,0.45577624403833256,0.037882008364806596
published,conditional_effective_rank,development_main,L2,0.521985232118163,0.5175396378085302,0.021985232118162945
published,conditional_effective_rank,development_main,L3,0.5306808173421513,0.5313739438345229,0.030680817342151334
published,conditional_effective_rank,development_main,L4,0.49912118105508774,0.49980495480459913,0.000878818944912263
published,conditional_effective_rank,development_main,L5,0.5072887573505938,0.4983706105964423,0.007288757350593755
published,conditional_effective_rank,development_main,L12,0.44530416289251923,0.4469753504135692,0.05469583710748077
published,conditional_effective_rank,development_main,L13,0.46766274033802424,0.47086978524153966,0.03233725966197576
published,conditional_effective_rank,development_main,L14,0.44996937951600746,0.4477996919891023,0.05003062048399254
published,conditional_effective_rank,development_main,L15,0.4640857348728041,0.4697782901159469,0.03591426512719592
published,conditional_effective_rank,external_8b,L2,0.500488329837418,0.49692492901612695,0.0004883298374179779
published,conditional_effective_rank,external_8b,L3,0.5301091606363245,0.5307763724195244,0.030109160636324517
published,conditional_effective_rank,external_8b,L4,0.4712942888600113,0.47208953282466704,0.02870571113998871
published,conditional_effective_rank,external_8b,L5,0.4858595055527716,0.47883941982190303,0.014140494447228424
published,conditional_effective_rank,external_8b,L12,0.423742754463159,0.4243980233229838,0.07625724553684099
published,conditional_effective_rank,external_8b,L13,0.4554942025433239,0.4570277831103015,0.0445057974566761
published,conditional_effective_rank,external_8b,L14,0.42566014803422514,0.4220587950895232,0.07433985196577486
published,conditional_effective_rank,external_8b,L15,0.4549558689737338,0.45964522977556455,0.0450441310262662
published,partial_edge_std,development_main,L2,0.5253493351365719,0.521193107511368,0.025349335136571893
