family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L14,high,0.75,per_task,False,140,57,0.2874743326488706,0.0039823936281701946,0.7106598984771574,20,54,0.2702702702702703,0.14285714285714285,0.5747409383874099,1.2364873476232694
circuit,dd_deficit,L14,high,0.8,per_task,False,129,37,0.2648870636550308,0.002585062530566618,0.7771084337349398,20,35,0.36363636363636365,0.15503875968992248,0.6251783657712828,1.2430187547776397
circuit,dd_deficit,L14,high,0.85,per_task,False,114,23,0.23408624229979466,0.0016069307622441137,0.8321167883211679,17,21,0.4473684210526316,0.14912280701754385,0.6842402733780433,1.2161178181065977
circuit,dd_deficit,L14,high,0.9,per_task,False,103,13,0.21149897330595482,0.0009082652134423251,0.8879310344827587,17,11,0.6071428571428571,0.1650485436893204,0.7271902706960408,1.2210436116435697
circuit,dd_deficit,L14,high,0.925,per_task,False,97,10,0.19917864476386038,0.0006986655488017886,0.9065420560747663,17,9,0.6538461538461539,0.17525773195876287,0.7318108310362411,1.238765562940776
circuit,dd_deficit,L14,high,0.95,per_task,False,75,1,0.1540041067761807,6.986655488017886e-05,0.9868421052631579,17,0,1.0,0.22666666666666666,0.7524783946773065,1.3114557338039667
circuit,dd_deficit,L14,high,0.96,per_task,False,64,1,0.13141683778234087,6.986655488017886e-05,0.9846153846153847,17,0,1.0,0.265625,0.7295378202729896,1.349642687814247
circuit,dd_deficit,L14,high,0.975,per_task,False,45,1,0.09240246406570841,6.986655488017886e-05,0.9782608695652174,10,0,1.0,0.2222222222222222,0.7500434462688886,1.3042722717351942
circuit,dd_deficit,L14,high,0.98,per_task,False,38,1,0.07802874743326489,6.986655488017886e-05,0.9743589743589743,9,0,1.0,0.23684210526315788,0.7424586165919097,1.312341122568624
circuit,dd_deficit,L14,high,0.99,per_task,False,18,1,0.03696098562628337,6.986655488017886e-05,0.9473684210526315,3,0,1.0,0.16666666666666666,0.6929983160340227,1.367057320534846
