corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
B,loop,-2,tail_mass,6,0.24893162393162394,0.7510683760683761,event_low,0.16256234357635282,0.3635126327876058,10,57,936,0.026986506746626688,0.08095952023988005
B,loop,-2,tail_mass,7,0.21047008547008547,0.7895299145299145,event_low,0.1279898442630641,0.2966412160658655,10,57,936,0.006496751624187906,0.04697651174412794
B,loop,-2,tail_mass,8,0.1485042735042735,0.8514957264957265,event_low,0.07172368752721191,0.2073121267561876,10,57,936,0.006496751624187906,0.015992003998001
B,loop,-2,tail_mass,9,0.14316239316239315,0.8568376068376069,event_low,0.07308085813045802,0.2098595362079034,10,57,936,0.006496751624187906,0.006496751624187906
B,loop,-2,tail_mass,10,0.23183760683760685,0.7681623931623931,event_low,0.15372260076429448,0.29942992381249645,10,57,936,0.0079960019990005,0.07246376811594203
B,loop,-2,exec_entropy,1,0.40064102564102566,0.5993589743589743,event_low,0.23504500923153032,0.573960792223185,10,57,936,0.27886056971514245,0.993503248375812
B,loop,-2,exec_entropy,2,0.2905982905982906,0.7094017094017093,event_low,0.21445582215042316,0.3647746549196076,10,57,936,0.006496751624187906,0.1969015492253873
B,loop,-2,exec_entropy,3,0.23717948717948717,0.7628205128205128,event_low,0.16266998603537705,0.2955649011485883,10,57,936,0.01249375312343828,0.07746126936531735
B,loop,-2,exec_entropy,4,0.3034188034188034,0.6965811965811965,event_low,0.18547173334813838,0.40602500912741873,10,57,936,0.018490754622688656,0.29235382308845576
B,loop,-2,exec_entropy,5,0.34935897435897434,0.6506410256410257,event_low,0.23205195494153236,0.47188337222366256,10,57,936,0.08945527236381809,0.6286856571714143
B,loop,-2,exec_entropy,6,0.3311965811965812,0.6688034188034189,event_low,0.22560874339235462,0.4742315991368976,10,57,936,0.1054472763618191,0.46326836581709147
B,loop,-2,exec_entropy,7,0.2670940170940171,0.732905982905983,event_low,0.17667724496850515,0.35701933467906366,10,57,936,0.0079960019990005,0.12493753123438281
B,loop,-2,exec_entropy,8,0.18055555555555555,0.8194444444444444,event_low,0.09887627198598288,0.25570285948669863,10,57,936,0.006496751624187906,0.03248375812093953
B,loop,-2,exec_entropy,9,0.2232905982905983,0.7767094017094017,event_low,0.12031240170895366,0.34675883930508167,10,57,936,0.02148925537231384,0.059470264867566215
B,loop,-2,exec_entropy,10,0.42628205128205127,0.5737179487179487,event_low,0.35747278964200974,0.49146414707902486,10,57,936,0.0704647676161919,1.0
B,loop,-2,late_flow_support_churn,1,0.5710470085470085,0.5710470085470085,event_high,0.4741080744261535,0.6861745904344385,10,57,936,0.2978510744627686,1.0
B,loop,-2,late_flow_support_churn,2,0.4097222222222222,0.5902777777777778,event_low,0.29179097745236127,0.5593128734638656,10,57,936,0.28835582208895555,1.0
B,loop,-2,late_flow_support_churn,3,0.4268162393162393,0.5731837606837606,event_low,0.3434454069630071,0.4848979513241314,10,57,936,0.0544727636181909,1.0
B,loop,-2,late_flow_support_churn,4,0.3952991452991453,0.6047008547008548,event_low,0.2899865694291838,0.4751397013009959,10,57,936,0.04397801099450275,0.9835082458770614
