concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
eef_target_distance_m,continuous,relative_geometry,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9901862349850663,0.9554808687710864,0.9934383506895079
eef_target_distance_m,continuous,relative_geometry,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.944859753764282,0.9632688930457501,0.9839819515382289
eef_target_distance_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9949041168685409,0.9876077851749526,0.9935270445149561
eef_target_distance_m,continuous,relative_geometry,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9887741055990069,0.8674832444478132,0.9839734499925457
target_goal_distance_m,continuous,goal_progress,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9870460359620439,0.8900559680327031,0.993374950617917
target_goal_distance_m,continuous,goal_progress,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9879242245879125,0.9354624319762838,0.9936538872024387
target_goal_distance_m,continuous,goal_progress,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9893357321810371,0.9788569620743794,0.9879199791790572
target_goal_distance_m,continuous,goal_progress,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9958167924802166,0.9393430074487095,0.9951656245009113
drawer_position_native,continuous,drawer,native,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.998386479100067,0.9538825600960366,0.9890745850361129
drawer_position_native,continuous,drawer,native,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9969599524423943,0.9719523306259173,0.9890376909045061
drawer_goal_distance_native,continuous,drawer,native,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9378991024251166,0.9652929967445958,0.9756200076657535
drawer_goal_distance_native,continuous,drawer,native,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9955671078521048,0.9742123943716332,0.9890883956518313
task_progress,continuous,goal_progress,normalized,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9983864790780157,0.9538825595689114,0.9890745847150526
task_progress,continuous,goal_progress,normalized,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9932311579633554,0.9706738294795443,0.9883958923292768
task_progress,continuous,goal_progress,normalized,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9132252085755157,0.918884999706122,0.9618057683929235
task_progress,continuous,goal_progress,normalized,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9855904786836587,0.9836950613287417,0.9888725372716136
task_progress,continuous,goal_progress,normalized,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9941825796189726,0.9424114177056897,0.9948594123286252
task_progress_speed,continuous,motion,per_query,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9770485730050859,0.9722171280908127,0.989391774698004
task_progress_speed,continuous,motion,per_query,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9057081362124489,0.9217656269290213,0.9630720573803957
task_progress_speed,continuous,motion,per_query,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.8741230944519578,0.906745063273594,0.935536133695395
task_progress_speed,continuous,motion,per_query,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9633514202261517,0.9476871596390406,0.9752486560680305
task_progress_speed,continuous,motion,per_query,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9436521458267055,0.9381057432617061,0.9804386411959913
