fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.15,seen,560,22,538,22,65,1.0,0.120817843866171,0.25287356321839083,0.9395910780669146,0.6348484848484849,22.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.15,unseen,1200,9,1191,8,2,0.8888888888888888,0.0016792611251049538,0.8,0.943604813881892,0.6296296296296297,14.5
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.2,seen,560,22,538,22,110,1.0,0.20446096654275092,0.16666666666666666,0.8977695167286246,0.503030303030303,12.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.2,unseen,1200,9,1191,9,4,1.0,0.0033585222502099076,0.6923076923076923,0.998320738874895,0.5518518518518518,13.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.01,seen,560,22,538,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.01,unseen,1200,9,1191,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.03,seen,560,22,538,21,9,0.9545454545454546,0.016728624535315983,0.7,0.9689084150050693,0.7227272727272728,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.03,unseen,1200,9,1191,4,0,0.4444444444444444,0.0,1.0,0.7222222222222222,0.8037037037037037,15.5
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,560,22,538,21,9,0.9545454545454546,0.016728624535315983,0.7,0.9689084150050693,0.7227272727272728,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,unseen,1200,9,1191,4,0,0.4444444444444444,0.0,1.0,0.7222222222222222,0.8037037037037037,15.5
